  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
981	            407	           0.0220507	        1.19	          305.942	             611.516	             305.227	             610.069	             305.271	             610.207	             611.514	             2.10123	            -7.00527	                0.31
982	        407.095	         0.000516582	       39.42	          305.997	             611.626	             305.263	             610.141	             305.343	             610.353	             611.624	             1.96075	            -7.03559	                0.39
983	        407.201	           0.0247219	        1.04	          306.037	             611.708	             305.298	             610.211	             305.388	             610.447	             611.705	             2.41764	              -6.636	                 0.3
984	        407.313	          0.00247402	        7.89	          306.019	             611.672	             305.331	             610.279	             305.321	             610.313	              611.67	             2.27934	            -6.82406	                0.31
985	         407.44	         0.000892538	       21.81	          306.031	             611.695	             305.365	             610.346	              305.31	             610.291	             611.693	             2.14138	            -7.00775	                0.42
986	        407.575	           0.0239521	        1.05	          306.025	             611.683	             305.398	             610.413	             305.262	             610.195	             611.682	             2.00352	            -7.19364	                 0.3
987	        407.672	          0.00146488	       13.76	          306.024	             611.682	              305.43	             610.478	             305.222	             610.117	              611.68	              1.8663	            -7.30052	                0.39
988	        407.717	          0.00126024	       15.57	          306.024	             611.681	              305.46	             610.539	             305.183	              610.04	              611.68	             1.73148	            -7.48042	                0.32
989	        407.808	         0.000589484	       37.44	          306.034	             611.702	             305.488	             610.596	             305.169	             610.011	             611.701	             1.59827	            -7.65415	                0.55
990	        407.887	           0.0411523	        0.69	           306.03	             611.693	             305.515	              610.65	              305.12	             609.916	             611.692	             1.46694	            -7.77691	                0.29
991	        408.009	          0.00106838	       19.52	          306.021	             611.675	             305.541	             610.702	             305.057	             609.791	             611.674	             1.33641	            -7.98599	                0.37
992	        408.082	           0.0018031	       11.21	          306.017	             611.666	             305.566	             610.752	             305.004	             609.685	             611.665	             1.20651	            -8.10517	                0.39
993	        408.144	           0.0017191	       11.21	          306.008	             611.649	              305.59	               610.8	             304.935	             609.549	             611.648	             1.07791	            -8.31078	                0.33
994	        408.247	         0.000929023	       20.96	          306.006	             611.644	             305.612	             610.846	             304.884	             609.446	             611.644	            0.950432	            -8.53722	                0.39
995	         408.32	           0.0214362	        0.93	          306.003	             611.638	             305.634	              610.89	             304.828	             609.336	             611.638	            0.823797	            -8.75129	                 0.3
996	          408.4	          0.00202061	        9.74	          306.004	             611.641	             305.655	             610.932	             304.784	             609.248	              611.64	            0.698353	            -8.88365	                0.34
997	         408.47	         0.000478595	       51.46	          306.016	             611.665	             305.675	             610.972	             304.777	             609.235	             611.664	            0.573794	            -8.91066	                0.59
998	        408.547	           0.0259067	        1.09	           306.01	             611.653	             305.693	              611.01	             304.707	             609.098	             611.652	             0.45021	            -9.13615	                0.31
999	        408.655	          0.00287439	        6.86	          306.007	             611.646	             305.711	             611.047	             304.644	             608.971	             611.645	            0.327262	            -9.36353	                0.32
1000	        408.698	          0.00105474	       19.37	          306.001	             611.633	             305.729	             611.082	             304.566	             608.816	             611.633	            0.205043	            -9.59448	                0.39
1001	        408.772	          0.00245459	        7.85	          306.003	             611.637	             305.745	             611.115	              304.52	             608.726	             611.637	           0.0840058	            -9.76812	                 0.3
1002	        408.833	           0.0016818	       11.46	              306	             611.632	             305.761	             611.146	             304.455	             608.597	             611.632	          -0.0362573	            -9.94909	                0.35
1003	        408.909	         0.000543316	       37.22	          306.001	             611.634	             305.775	             611.175	             304.403	             608.494	             611.633	           -0.155623	            -10.1584	                0.49
1004	        408.957	           0.0189394	        1.21	          306.001	             611.633	             305.789	             611.204	             304.345	             608.379	             611.633	           -0.069485	            -10.2617	                 0.3
1005	        408.996	         0.000942063	       20.65	          306.001	             611.634	             305.802	             611.229	             304.291	             608.273	             611.634	           -0.187106	            -10.4039	                0.36
1006	        409.067	           0.0262123	        1.01	          306.005	             611.642	             305.814	             611.254	             304.258	             608.207	             611.642	           -0.303939	            -10.4704	                0.29
1007	        409.129	          0.00112975	       18.46	          306.005	             611.642	             305.825	             611.277	             304.201	             608.095	             611.642	           -0.420219	            -10.6793	                0.37
1008	        409.199	           0.0015804	       12.26	          306.003	             611.638	             305.836	             611.299	             304.132	             607.958	             611.638	           -0.535933	            -10.9086	                0.37
1009	        409.254	          0.00117626	       16.77	          306.004	              611.64	             305.847	              611.32	             304.079	             607.854	              611.64	             -0.6511	            -11.0954	                0.34
1010	        409.329	         0.000443872	       48.89	          306.005	             611.643	             305.856	              611.34	             304.029	             607.754	             611.643	           -0.530171	            -11.2014	                0.49
1011	        409.397	           0.0233372	        1.07	          306.006	             611.643	             305.866	             611.359	             303.968	             607.635	             611.643	           -0.644426	            -11.4186	                 0.3
